Search,Search Count,Last Search Date
"everything",1,133329498498243874
"ext:json everything",1,133329485448537838
"ext:ps1 datemodified:today content:ps1",1,133329469245946066
"ext:ps1 git content:branch",1,133329467300448182
"smartgit dir:",1,133329464289991020
"ext:ps1 git",1,133329278150436904
"path:modules/Everything ",1,133329276506088413
"beeftext",1,133329249398498564
"ext:ps1 content:""ensure-di""",1,133329242344374857
"ext:ps1 content:""B:\PF\Gephi""",1,133328861252022513
"was",1,133321552012507853
