Filename,Run Count,Last Run Date
"D:\PortableApplauncher\Apps\.free\AutoHotkey\Data\Fork\BethINI Standalone\BethINI.ahk",3,132866792858930624
"C:\Users\dator\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadline",2,132871636749520299
"D:\Program Files\WindowsPowerShell\Modules\PSReadline",2,132871615382372248
"D:\PortableApplauncher\Apps\.free\AutoHotkey\Data\Fork\BethINI Standalone\Presets\Fallout 4\Fallout4.ini",2,132866787913804861
"C:\Users\dator\AppData\Roaming\Vortex\fallout4\profiles\LHAvQfzXK\plugins.txt",2,132846623225199728
"D:\Steam\steamapps\common\Fallout 3 goty\CalienteTools\BodySlide\ShapeData\CalConvert\CalienteBody.nif",2,132840473281481343
"D:\Steam\steamapps\common\Fallout 3 goty\Edit Scripts\lib\mteFunctions.pas",1,132878487666734989
"C:\Users\dator\AppData\Roaming\Microsoft\Windows\PowerShell\Modules\PSReadline",1,132871615299847927
"C:\Program Files\PowerShell\7\Modules\PSReadLine",1,132871615179272903
"D:\Users\chris\.vscode\extensions\ms-vscode.powershell-2021.9.0\modules\PSReadLine",1,132871615089668211
"C:\Users\dator\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadline\ConsoleHost_history.txt",1,132871579475894679
"C:\Users\dator\AppData\Roaming\Microsoft\Windows\PowerShell\WindowsAdmin\ConsoleHost_history.txt",1,132871578865539432
"D:\Vortex Mods\fallout4\Fallout4Prefs.ini",1,132866676994394558
"D:\Steam\steamapps\common\Fallout 4\Fallout4_Default.ini",1,132866676795314431
"D:\2\My Games\Fallout4\Fallout4Custom.ini",1,132866676052249048
"D:\OneDrive\My Games\Fallout4\Fallout4Prefs.ini",1,132866675134496286
"D:\OneDrive\My Games\Fallout4\Fallout4Custom.ini",1,132866675134496286
"D:\OneDrive\My Games\Fallout4\Fallout4.ini",1,132866675134496286
"D:\2\My Games\Fallout4\Fallout4.ini",1,132866665239730183
"D:\Vortex Mods\Mods\AutoHotkey2\AutoHotkey\Data\Fork\BethINI Standalone\Presets\Fallout 4\Fallout4.ini",1,132866660078548542
"D:\AppData\Roaming\Microsoft\Windows\PowerShell\WindowsAdmin",1,132855971991688201
"D:\AppData\Local\Programs\MTG-Arena-Tool\MTG-Arena-Tool.exe",1,132855243030957939
"D:\AppData\Roaming\Microsoft\Windows\PowerShell\Scripts\.gitmodules",1,132855239773166438
"C:\Users\dator\AppData\Roaming\Vortex\fallout4\profiles\P0Cnb04y5\plugins (2).txt",1,132846625175234368
"C:\Users\dator\AppData\Roaming\Vortex\fallout4\profiles\LHAvQfzXK\loadorder.txt",1,132846622117632231
"D:\Vortex Mods\modlistBackup",1,132846621836360838
"D:\OneDrive\My Games\Fallout4\BashSettings.dat",1,132846619440965184
"C:\Users\dator\AppData\Local\Fallout4\plugins.txt",1,132846619027084423
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\troupers\armornvncrtrooper_female.nif",1,132840473056273401
"D:\Vortex Mods\fallout3\RaiderDolls\meshes\K2\RaiderDolls\AnimatedObjects\AOVibrator01.nif",1,132840472296274428
"D:\Vortex Mods\fallout3\some clothes_ver2-12254\meshes\Bronson\Bikini Armor\BikiniArmor.nif",1,132840472112992619
"D:\Steam\steamapps\common\Fallout 4\Data\meshes\SetDressing\BadChildren\cancer.nif",1,132840471682993139
"D:\Steam\steamapps\common\Fallout 4\Data\Tools\BodySlide\ShapeData\CCO Vulgar Villains Replacer\CCO - Spike Armor.nif",1,132840471448714004
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\lucassimms\f\outfitf.nif",1,132840470723239701
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\wastelandsettler03\f\outfit.nif",1,132840470622223794
"D:\Vortex Mods\fallout3\some clothes_ver2-12254\meshes\Bronson\NEW\Armor\WastelandSettler02\f\outfit.nif",1,132840470489968476
"D:\Steam\steamapps\common\Fallout 3 goty\Data\meshes\architecture\suburban\hospital.nif",1,132840470411477958
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\vaultsuitutility\f\vaultsuitutilitydadf.nif",1,132840470340301298
"D:\Steam\steamapps\common\Fallout 3 goty\Data\meshes\dungeons\RivetCity\Exterior\rcaircarriertower.nif",1,132840470268745032
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\vaultsuitutility\f\outfit.nif",1,132840470138948187
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\WastelandClothing02\outfitf.nif",1,132840470045443332
"D:\Steam\steamapps\common\Fallout 3 goty\Data\meshes\dungeons\RivetCity\Exterior\rcextaircarrier01.nif",1,132840469906306702
"D:\Steam\steamapps\common\Fallout New Vegas2\Data\meshes\Armor\wastelandclothing01\outfitf.nif",1,132840469072551976
"D:\AppData\Local\Programs\Microsoft VS Code\Code.exe",1,132838752267479316
"D:\AppData\Local\Temp\vscode-update-user-x64\CodeSetup-stable-83bd43bc519d15e50c4272c6cf5c1479df196a4d.exe",1,132838751899366733
"C:\Program Files\WindowsApps\Microsoft.Todos_2.57.43142.0_x64__8wekyb3d8bbwe",1,132838743637000636
"D:\Users\chris\.vscode\extensions\davraamides.todotxt-mode-1.4.25",1,132838743376509017
"D:\Program Files\JetBrains\DataGrip 2021.1.1\bin\datagrip64.exe",1,132836936181939638
"D:\AppData\Roaming\Microsoft\Windows\PowerShell\Modules\PSReadline",1,132831040955902735
"D:\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine",1,132831038229926799
"C:\Program Files\WindowsPowerShell\Modules\PSReadline",1,132831038057767039
"C:\Users\dator\AppData\Roaming\AirLiveDrive\DisksCache\AirLiveDrive\1421194807\p_aps\GitHubDesktopPortable\App\GitHubDesktop\app-1.0.0\resources\app\git\mingw64\etc\gitconfig",1,132831025429226416
"C:\Users\dator\AppData\Roaming\AirLiveDrive\DisksCache\AirLiveDrive\1421194807\p_aps\GitHubDesktopPortable\App\DefaultData\.gitconfig",1,132831025352889959
"C:\Users\dator\.gitconfig.BackupByGitHubDesktopPortable",1,132831025171790549
"C:\Users\dator\.gitconfig",1,132831024976420809
"D:\Program Files\Git\mingw64\bin\git.exe",1,132821733156708492
"D:\AppData\Roaming\JetBrains\DataGrip2021.1",1,132821721568105028
"D:\PortableApplauncher\Apps\.free\NTLite",1,132821721330087076
"C:\Users\dator",1,132821720925579540
"C:\Users\dator\AppData\Roaming\Vortex",1,132821299366116478
"D:\ToGit\Arrogant Bastard Typhoon Gaming mouse",1,132819723135210718
